length;averagerel
1;0,0
2;0,4942528735632184
3;1,7534818941504178
4;2,086404833836858
5;1,836703431372549
6;1,819685521748009
7;1,8889841081241336
8;1,9106181068961712
9;1,8827079646017704
10;1,864818122127352
11;1,8864527908190165
12;1,8628184600894282
13;1,8575103878116501
14;1,8478922091782395
15;1,8648363095238116
16;1,850414993306564
17;1,8682765151515104
18;1,8450657894736842
19;1,8432994923857862
20;1,8544444444444461
21;1,932615384615385
22;2,0672727272727274
23;1,876470588235294
24;1,9166666666666667
25;1,7950000000000002
26;1,745
27;1,85
